eval/success_goal_47,eval/success_goal_30,eval/success_goal_106,time_store,eval/success_goal_147,eval/success_goal_162,time_store_policy,eval/success_goal_14,eval/success_goal_81,eval/success_goal_12,eval/success_goal_105,eval/success_goal_141,eval/success_goal_43,eval/success_goal_179,eval/success_goal_19,eval/success_goal_1,eval/success_goal_25,eval/success_goal_136,eval/success_goal_138,eval/success_goal_96,eval/success_goal_165,eval/success_goal_50,time_recompute_reward,eval/success_goal_54,eval/success_goal_61,eval/success_goal_86,eval/success_goal_107,time_epoch,pos_rew_ratio,time_reset,eval/success_goal_51,time_scatter_data,eval/success_goal_120,time_buffer_sample,eval/success_goal_40,time_random,time_update,eval/success_goal_186,eval/success_goal_56,eval/success_goal_161,eval/success_goal_177,time_pre_replay,eval/success_goal_127,time_data_process,eval/success_goal_68,time_reward_func_update,eval/success_goal_76,eval/success_goal_151,time_goal_sampler,eval/success_goal_176,eval/success_goal_58,eval/success_goal_112,eval/success_goal_189,eval/success_goal_34,eval/success_goal_129,eval/success_goal_11,eval/success_goal_98,eval/success_goal_128,eval/success_goal_57,eval/success_goal_71,eval/success_goal_137,eval/success_goal_21,time_get_classif_samples,eval/success_goal_88,eval/success_goal_119,eval/success_goal_160,eval/success_goal_132,eval/success_goal_65,time_comm,eval/success_goal_38,eval/success_goal_63,eval/mean_Q,time_encoding,eval/success_goal_173,eval/success_goal_97,eval/success_goal_164,eval/success_goal_95,eval/success_goal_156,eval/success_goal_31,eval/success_goal_140,eval/success_goal_29,time_sample_goal,eval/success_goal_125,eval/success_goal_116,eval/success_goal_5,eval/success_goal_90,eval/success_goal_109,eval/success_goal_82,time_run_batch,eval/success_goal_46,eval/success_goal_33,time_batch,time_transition_batch,epoch_duration (s),eval/success_goal_4,time_social_partner,eval/success_goal_169,eval/success_goal_27,eval/success_goal_69,eval/success_goal_0,eval/success_goal_2,eval/success_goal_75,eval/success_goal_101,eval/success_goal_139,eval/success_goal_92,eval/success_goal_22,eval/success_goal_133,eval/success_goal_67,eval/success_goal_17,eval/success_goal_16,total_duration (s),eval/success_goal_159,eval/success_goal_89,eval/success_goal_8,eval/success_goal_84,eval/success_goal_80,eval/success_goal_48,eval/success_goal_135,eval/success_goal_39,time_env,time_argwhere,time_infer_social_partner,eval/success_goal_102,eval/success_goal_168,eval/success_goal_74,epoch,eval/success_goal_36,eval/success_goal_108,eval/success_goal_79,eval/success_goal_152,eval/success_goal_175,eval/success_goal_103,eval/success_goal_18,eval/success_goal_41,eval/success_goal_111,eval/success_goal_170,eval/success_goal_180,eval/success_goal_134,eval/success_goal_171,eval/success_goal_6,eval/success_goal_45,eval/success_goal_10,eval/success_goal_62,eval/success_goal_59,eval/success_goal_121,eval/success_goal_32,eval/success_goal_70,eval/success_goal_184,time_train,eval/success_goal_114,eval/success_goal_172,eval/success_goal_26,eval/success_goal_150,eval/success_goal_99,eval/success_goal_153,eval/success_goal_126,eval/success_goal_131,eval/success_goal_145,eval/success_goal_148,time_eval,eval/success_goal_166,eval/success_goal_110,time_reward_func_replay,eval/success_goal_73,eval/success_goal_15,eval/success_goal_93,eval/success_goal_104,eval/success_goal_91,eval/success_goal_183,eval/success_goal_64,eval/success_goal_181,eval/success_goal_28,eval/success_goal_118,time_sample_ind,eval/success_goal_174,eval/success_goal_117,eval/success_goal_77,eval/success_goal_42,eval/success_goal_49,time_info,eval/success_goal_85,eval/success_goal_113,eval/success_goal_130,eval/success_goal_149,eval/success_goal_157,eval/success_goal_37,z_current_eval_success_rate,eval/success_goal_143,eval/success_goal_35,eval/success_goal_72,eval/success_goal_190,eval/success_goal_154,eval/success_goal_124,time_rollout,eval/success_goal_144,eval/success_goal_188,time_sample_shuffle,eval/success_goal_87,eval/success_goal_167,eval/success_goal_115,time_replay,eval/success_goal_24,eval/success_goal_100,eval/success_goal_123,eval/success_goal_146,time_sample_1,eval/success_goal_3,eval/success_goal_7,eval/success_goal_9,eval/success_goal_155,eval/success_goal_44,eval/success_goal_23,episode,eval/success_goal_83,eval/success_goal_13,eval/success_goal_60,eval/success_goal_78,eval/success_goal_122,eval/success_goal_142,eval/success_goal_163,eval/success_goal_187,eval/success_goal_55,eval/success_goal_178,eval/success_goal_53,eval/success_goal_182,eval/success_goal_158,eval/success_goal_185,eval/success_goal_94,eval/success_goal_20,eval/success_goal_52,eval/success_goal_66
0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,370.063,nan,0.000,0.0,0.024,0.0,0.000,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.000,0.0,5.223,0.0,343.547,0.0,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.154,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-0.18985198,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.000,0.000,370.1928176879883,1.0,0.318,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.1928176879883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.297,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.020942408376963352,0.0,0.0,0.0,0.0,0.0,0.0,4.664,0.0,0.0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.001,0.0,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.619,0.0,0.0,0.0,0.0,419.034,0.5,0.000,0.0,0.055,0.0,197.075,0.0,14.022,186.523,0.0,0.0,0.0,0.0,4.627,0.0,6.602,0.0,0.221,0.0,0.0,0.034,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.483,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-0.907947,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,205.189,1.659,419.12124395370483,1.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,789.3140616416931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.000,0.042,0.001,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.512,0.0,0.0,159.609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.402,0.0,0.0,0.0,1.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.07329842931937172,0.0,0.0,0.0,0.0,0.0,0.0,4.911,0.0,0.0,0.029,0.0,0.0,0.0,188.471,0.0,0.0,0.0,0.0,2.647,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.002,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499,0.0,0.0,0.0,1.0,613.349,0.5,0.000,0.0,0.094,0.0,285.033,0.0,14.568,174.031,0.0,0.0,0.0,0.0,5.924,0.0,5.375,0.0,121.212,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.236,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-0.27024493,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,292.861,1.527,613.4362480640411,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.7503097057343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.051,0.004,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927,0.0,0.0,237.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.627,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.02617801047120419,0.0,0.0,0.0,0.0,0.0,0.0,4.895,0.0,0.0,0.025,0.0,0.0,0.0,273.781,0.0,0.0,0.0,0.0,4.025,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.548,0.0,0.0,0.0,0.0,508.252,0.5,0.000,0.0,0.107,0.0,297.814,0.0,17.858,175.269,0.0,0.0,0.0,0.0,6.772,0.0,5.053,0.0,0.380,0.0,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896,0.0,0.0,0.0,1.0,0.0,0.000,0.0,0.0,-1.9254795,0.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,306.029,1.619,508.3201491832733,1.0,0.330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1911.0704588890076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.000,0.068,0.003,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,482.004,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.463,0.0,0.0,245.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.460,0.0,0.0,0.0,1.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.07329842931937172,0.0,0.0,0.0,0.0,0.0,1.0,4.996,0.0,0.0,0.032,0.0,0.0,0.0,285.476,0.0,0.0,0.0,0.0,4.775,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.007,0.0,0.0,0.009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.621,0.0,0.0,0.0,0.0,646.849,0.497734375,0.000,0.0,0.124,1.0,312.320,1.0,19.577,179.026,0.0,0.0,0.0,0.0,7.676,0.0,5.428,0.0,121.343,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.252,0.0,0.0,0.0,0.0,1.0,0.000,0.0,0.0,-3.30257,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,320.888,1.565,646.915289402008,1.0,0.330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2557.9857482910156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.071,0.008,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.953,0.0,0.0,255.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.332,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.08376963350785341,0.0,0.0,0.0,0.0,0.0,0.0,5.211,0.0,0.0,0.028,0.0,0.0,0.0,298.769,0.0,0.0,0.0,0.0,5.696,0.0,0.0,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.005,0.0,0.0,0.010,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,0.0,486.240,0.5,0.000,0.0,0.140,0.0,290.675,0.0,18.369,163.383,0.0,0.0,0.0,0.0,7.935,0.0,4.277,0.0,0.296,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.093,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-4.438371,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006,0.0,1.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,298.578,1.479,486.31531596183777,1.0,0.321,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3044.3010642528534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.051,0.004,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,462.487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.977,0.0,0.0,237.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.570,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.11518324607329843,0.0,0.0,0.0,0.0,0.0,0.0,4.857,0.0,0.0,0.039,0.0,0.0,0.0,277.308,0.0,0.0,0.0,0.0,5.998,0.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,592.167,0.495546875,0.000,0.0,0.143,0.0,281.355,0.0,18.510,161.641,0.0,0.0,0.0,0.0,8.195,0.0,7.089,0.0,114.840,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908,0.0,0.0,1.0,0.0,0.0,0.000,0.0,0.0,-5.097246,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,289.058,1.431,592.2298493385315,1.0,0.317,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3636.530913591385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.059,0.004,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.926,0.0,0.0,228.316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.851,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,4.753,0.0,0.0,0.026,0.0,0.0,0.0,267.856,0.0,0.0,0.0,0.0,6.337,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.006,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.0,1.0,0.0,0.0,3484.532,0.487578125,0.000,0.0,0.158,0.0,3290.942,0.0,19.947,157.083,0.0,0.0,0.0,0.0,8.655,0.0,8.358,0.0,0.550,0.0,0.0,0.018,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.154,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-5.9454274,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,3298.549,1.472,3484.595365524292,1.0,0.322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121.126279115677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.058,0.005,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3456.174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.362,0.0,0.0,3235.856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.322,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.09947643979057591,1.0,1.0,0.0,0.0,0.0,1.0,4.740,0.0,0.0,0.046,0.0,0.0,0.0,3277.045,0.0,1.0,0.0,0.0,6.763,0.0,0.0,0.0,0.0,1.0,1.0,800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.005,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0.0,587.083,0.4828125,0.000,0.0,0.168,0.0,283.302,0.0,20.043,154.514,0.0,0.0,0.0,0.0,8.980,0.0,4.365,0.0,117.759,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.157,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-7.1868134,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,1.0,0.0,0.0,1.0,0.000,0.0,0.0,290.897,1.409,587.1480429172516,1.0,0.323,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7708.2743220329285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000,0.052,0.006,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.951,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.933,0.0,0.0,228.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.596,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.09424083769633508,0.0,0.0,0.0,0.0,0.0,0.0,4.720,0.0,0.0,0.021,0.0,0.0,0.0,269.147,0.0,0.0,0.0,0.0,7.110,1.0,0.0,1.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.003,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.466,0.0,0.0,1.0,0.0,471.538,0.492578125,0.000,1.0,0.175,0.0,283.292,0.0,20.126,152.984,0.0,0.0,0.0,0.0,9.276,0.0,7.800,0.0,0.428,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,-8.328444,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.0,1.0,0.0,0.0,0.0,0.000,0.0,1.0,290.864,1.448,471.5994246006012,1.0,0.325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8179.87374663353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.063,0.007,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,444.435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.775,0.0,0.0,228.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.904,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.08900523560209424,0.0,1.0,0.0,0.0,0.0,0.0,4.750,0.0,0.0,0.026,0.0,0.0,0.0,268.843,0.0,0.0,0.0,1.0,7.378,0.0,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
