instruction,count,true_0,pred_0,true_1,pred_1,accuracy,precision,recall,f1_score,epoch
0,20.0,11.0,12.0,9.0,8.0,0.95,1.0,0.89,0.94,0
1,20.0,0.0,19.0,20.0,1.0,0.05,1.0,0.05,0.1,0
2,20.0,14.0,14.0,6.0,6.0,1.0,1.0,1.0,1.0,0
3,20.0,9.0,9.0,11.0,11.0,1.0,1.0,1.0,1.0,0
4,20.0,15.0,12.0,5.0,8.0,0.85,0.62,1.0,0.77,0
5,20.0,20.0,20.0,0.0,0.0,1.0,,,,0
6,20.0,20.0,20.0,0.0,0.0,1.0,,,,0
7,20.0,20.0,20.0,0.0,0.0,1.0,,,,0
8,20.0,20.0,20.0,0.0,0.0,1.0,,,,0
9,20.0,20.0,20.0,0.0,0.0,1.0,,,,0
model,20.0,14.9,16.6,5.1,3.4,0.88,0.46,0.39,0.38,0
0,20.0,14.0,13.0,6.0,7.0,0.95,0.86,1.0,0.92,1
1,20.0,18.0,6.0,2.0,14.0,0.2,0.0,0.0,0.0,1
2,20.0,19.0,13.0,1.0,7.0,0.7,0.14,1.0,0.25,1
3,20.0,6.0,6.0,14.0,14.0,1.0,1.0,1.0,1.0,1
4,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
5,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
6,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
7,20.0,19.0,5.0,1.0,15.0,0.3,0.07,1.0,0.12,1
8,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
9,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
10,20.0,2.0,11.0,18.0,9.0,0.45,0.89,0.44,0.59,1
11,20.0,8.0,6.0,12.0,14.0,0.9,0.86,1.0,0.92,1
12,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
13,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
14,20.0,18.0,6.0,2.0,14.0,0.4,0.14,1.0,0.25,1
15,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
16,20.0,17.0,13.0,3.0,7.0,0.8,0.43,1.0,0.6,1
17,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
