eval/success_goal_59,z_current_eval_success_rate,time_eval,episode,eval/success_goal_188,eval/success_goal_78,time_infer_social_partner,eval/success_goal_133,eval/success_goal_163,eval/success_goal_1,eval/success_goal_90,eval/success_goal_69,eval/success_goal_5,time_sample_1,eval/success_goal_41,total_duration (s),eval/success_goal_177,eval/success_goal_143,time_store,eval/success_goal_11,eval/success_goal_34,eval/success_goal_150,eval/success_goal_19,time_argwhere,eval/success_goal_8,eval/success_goal_162,eval/success_goal_45,eval/success_goal_47,eval/success_goal_54,eval/success_goal_0,pos_rew_ratio,eval/success_goal_97,eval/success_goal_104,eval/success_goal_61,eval/success_goal_73,eval/success_goal_84,eval/success_goal_64,eval/success_goal_120,eval/success_goal_49,eval/success_goal_142,eval/success_goal_154,eval/success_goal_81,eval/success_goal_141,time_replay,eval/success_goal_56,eval/success_goal_7,eval/success_goal_151,eval/success_goal_124,eval/success_goal_53,eval/success_goal_76,time_recompute_reward,eval/success_goal_139,eval/success_goal_103,eval/success_goal_165,eval/success_goal_138,eval/success_goal_114,eval/success_goal_107,eval/success_goal_180,time_transition_batch,eval/success_goal_82,eval/success_goal_156,eval/success_goal_187,eval/success_goal_75,eval/success_goal_146,eval/success_goal_72,eval/success_goal_71,eval/success_goal_77,eval/success_goal_87,time_sample_shuffle,eval/success_goal_96,eval/success_goal_30,eval/success_goal_122,time_get_classif_samples,eval/success_goal_181,eval/success_goal_21,eval/success_goal_130,eval/success_goal_115,eval/success_goal_66,eval/success_goal_126,eval/success_goal_95,eval/success_goal_112,eval/success_goal_55,eval/success_goal_135,eval/success_goal_158,eval/success_goal_176,eval/success_goal_178,eval/success_goal_186,eval/success_goal_13,eval/success_goal_40,eval/success_goal_51,eval/success_goal_102,eval/success_goal_6,eval/success_goal_15,eval/success_goal_17,eval/success_goal_46,eval/success_goal_179,time_info,eval/success_goal_28,eval/success_goal_38,eval/success_goal_50,eval/success_goal_16,eval/success_goal_128,eval/success_goal_175,eval/success_goal_184,eval/success_goal_9,eval/success_goal_172,eval/success_goal_2,eval/success_goal_12,eval/success_goal_170,eval/success_goal_160,time_batch,time_data_process,time_update,eval/success_goal_68,eval/success_goal_168,eval/success_goal_4,eval/success_goal_123,eval/success_goal_166,eval/success_goal_44,eval/success_goal_153,time_random,eval/success_goal_27,eval/success_goal_108,eval/success_goal_93,eval/success_goal_14,eval/success_goal_89,eval/success_goal_10,eval/success_goal_137,time_epoch,time_pre_replay,eval/success_goal_106,eval/success_goal_132,eval/success_goal_161,time_encoding,eval/success_goal_101,eval/success_goal_70,time_sample_ind,eval/success_goal_48,eval/success_goal_127,eval/success_goal_86,eval/success_goal_140,eval/success_goal_159,eval/success_goal_173,eval/mean_Q,eval/success_goal_85,eval/success_goal_99,eval/success_goal_117,eval/success_goal_119,eval/success_goal_134,eval/success_goal_36,eval/success_goal_105,eval/success_goal_113,eval/success_goal_149,eval/success_goal_20,eval/success_goal_109,eval/success_goal_171,eval/success_goal_42,time_rollout,eval/success_goal_32,eval/success_goal_100,time_goal_sampler,eval/success_goal_52,eval/success_goal_182,eval/success_goal_136,eval/success_goal_60,eval/success_goal_62,eval/success_goal_63,eval/success_goal_131,eval/success_goal_80,time_buffer_sample,eval/success_goal_58,eval/success_goal_183,epoch,eval/success_goal_37,eval/success_goal_57,time_social_partner,eval/success_goal_145,eval/success_goal_121,eval/success_goal_35,eval/success_goal_26,eval/success_goal_152,time_comm,eval/success_goal_3,eval/success_goal_118,time_run_batch,eval/success_goal_79,eval/success_goal_98,eval/success_goal_33,time_reward_func_update,time_train,eval/success_goal_185,eval/success_goal_155,eval/success_goal_174,eval/success_goal_189,epoch_duration (s),eval/success_goal_18,eval/success_goal_148,eval/success_goal_31,eval/success_goal_88,eval/success_goal_116,time_reset,time_store_policy,eval/success_goal_83,time_reward_func_replay,eval/success_goal_39,time_sample_goal,eval/success_goal_91,eval/success_goal_92,eval/success_goal_164,eval/success_goal_74,eval/success_goal_157,eval/success_goal_144,time_scatter_data,eval/success_goal_23,eval/success_goal_22,eval/success_goal_129,eval/success_goal_190,time_env,eval/success_goal_24,eval/success_goal_167,eval/success_goal_25,eval/success_goal_29,eval/success_goal_169,eval/success_goal_94,eval/success_goal_67,eval/success_goal_111,eval/success_goal_43,eval/success_goal_125,eval/success_goal_147,eval/success_goal_110,eval/success_goal_65
0.0,0.11518324607329843,25.846,100.0,0.0,0.0,0.000,0.0,0.0,1.0,0.0,1.0,0.0,0.000,0.0,278.4758405685425,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.000,0.0,0.0,1.0,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.000,0.0,0.0,0.0,1.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,9.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,9.935,0.000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278.315,0.000,0.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.3855045,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.790,0.0,1.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000,0.0,0.0,0,0.0,0.0,0.898,0.0,1.0,0.0,1.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,227.764,0.000,0.0,0.0,0.0,0.0,278.4758405685425,0.0,0.0,0.0,0.0,0.0,0.000,0.009,0.0,0.000,1.0,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.120,1.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07853403141361257,27.315,200.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,1.0,8.080,0.0,1268.5698854923248,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.145,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.615,0.0,0.0,0.0,0.0,0.0,0.0,1.060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,9.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.073,9.585,381.423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.559,0.0,1.0,0.0,0.0,0.0,0.0,0.0,989.927,11.641,0.0,0.0,0.0,0.000,0.0,0.0,11.064,0.0,0.0,0.0,0.0,0.0,0.0,-0.38892582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.031,0.0,0.0,0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,541.337,0.0,0.0,1,1.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.469,940.805,0.0,0.0,0.0,0.0,990.0940449237823,0.0,0.0,0.0,0.0,0.0,0.000,0.011,0.0,445.842,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,1.0,0.0,1.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.07853403141361257,35.073,300.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,1.0,10.994,0.0,2562.2622895240784,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.110,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,543.508,0.0,0.0,0.0,0.0,0.0,0.0,1.340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,24.030,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,586.761,24.474,381.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1293.543,14.464,1.0,0.0,0.0,0.000,0.0,1.0,13.802,0.0,0.0,0.0,0.0,0.0,0.0,-0.31654894,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.779,0.0,0.0,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.194,0.0,0.0,2,0.0,0.0,0.739,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,252.142,969.287,0.0,0.0,0.0,0.0,1293.6924040317535,0.0,0.0,0.0,0.0,0.0,0.000,0.008,0.0,464.845,1.0,0.024,1.0,0.0,0.0,0.0,0.0,0.0,0.339,0.0,1.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05759162303664921,30.007,400.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,1.0,13.227,0.0,3611.4209237098694,0.0,1.0,0.013,0.0,1.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.460859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.921,0.0,0.0,0.0,0.0,0.0,0.0,1.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070,0.0,0.0,0.0,11.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,630.293,12.187,362.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1049.020,17.212,0.0,0.0,0.0,0.000,1.0,0.0,16.464,0.0,0.0,0.0,0.0,0.0,0.0,-2.634906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.850,0.0,0.0,0.052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,613.225,0.0,0.0,3,0.0,0.0,0.673,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.707,994.546,0.0,0.0,0.0,0.0,1049.158634185791,0.0,0.0,0.0,0.0,0.0,0.000,0.012,0.0,497.697,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11518324607329843,27.606,500.0,1.0,0.0,0.010,0.0,0.0,0.0,0.0,0.0,1.0,14.449,0.0,4841.836708545685,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.138,1.0,0.0,0.0,0.0,0.0,1.0,0.456484375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,576.062,1.0,0.0,0.0,0.0,0.0,1.0,1.057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.071,0.0,0.0,0.0,16.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,621.871,16.959,350.537,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.297,18.317,0.0,0.0,0.0,0.000,0.0,0.0,17.509,0.0,0.0,0.0,0.0,0.0,0.0,-3.8179789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.719,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.246,0.0,0.0,4,1.0,0.0,0.723,0.0,1.0,1.0,0.0,0.0,0.000,0.0,1.0,0.000,1.0,0.0,0.0,200.559,973.688,0.0,0.0,0.0,0.0,1230.4157848358154,0.0,0.0,0.0,0.0,0.0,0.000,0.014,0.0,489.536,0.0,0.021,0.0,0.0,0.0,0.0,0.0,1.0,0.356,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.13089005235602094,24.946,600.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.0,11.928,0.0,5670.052868843079,0.0,1.0,0.005,0.0,1.0,0.0,0.0,0.089,1.0,0.0,0.0,0.0,0.0,0.0,0.4996875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.582,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.359,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.043,0.0,0.0,1.0,16.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,494.548,16.496,281.283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.549,0.0,0.0,0.0,1.0,1.0,0.0,0.0,828.091,15.046,0.0,0.0,0.0,0.000,0.0,0.0,14.420,0.0,0.0,0.0,0.0,0.0,0.0,-4.9056525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.483,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.030,0.0,0.0,5,0.0,0.0,0.591,0.0,0.0,0.0,0.0,0.0,0.000,0.0,1.0,0.000,0.0,0.0,0.0,0.754,776.777,0.0,0.0,0.0,0.0,828.2161602973938,0.0,0.0,1.0,0.0,0.0,0.000,0.020,1.0,393.824,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14136125654450263,25.158,700.0,0.0,0.0,0.008,0.0,0.0,1.0,0.0,0.0,1.0,12.883,0.0,6698.6633105278015,0.0,0.0,0.010,0.0,0.0,0.0,0.0,0.105,1.0,0.0,0.0,0.0,0.0,1.0,0.498671875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,452.787,0.0,1.0,0.0,0.0,0.0,1.0,0.900,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,1.0,0.0,0.0,7.192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,491.233,7.586,283.132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.452,15.887,0.0,0.0,0.0,0.000,1.0,0.0,15.255,0.0,0.0,0.0,0.0,0.0,0.0,-6.749112,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.604,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,477.818,1.0,0.0,6,0.0,0.0,0.576,0.0,0.0,1.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,211.135,775.351,0.0,0.0,0.0,0.0,1028.610441684723,0.0,0.0,1.0,0.0,0.0,0.000,0.018,0.0,388.616,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12041884816753927,25.026,800.0,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,1.0,13.222,0.0,7506.40341091156,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.107,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,446.079,0.0,0.0,0.0,0.0,0.0,1.0,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.042,0.0,0.0,0.0,6.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,484.594,6.683,280.411,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,807.569,16.226,1.0,0.0,0.0,0.000,0.0,0.0,15.535,0.0,0.0,0.0,0.0,0.0,0.0,-8.042307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.627,0.0,0.0,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,471.304,1.0,0.0,7,0.0,0.0,0.571,0.0,0.0,1.0,0.0,0.0,0.000,0.0,0.0,0.000,0.0,1.0,0.0,0.683,765.942,0.0,0.0,0.0,0.0,807.7401003837585,0.0,0.0,0.0,0.0,0.0,0.000,0.008,0.0,385.417,1.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.0,1.0,0.0,0.0,0.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.14659685863874344,25.173,900.0,0.0,0.0,0.014,1.0,0.0,0.0,1.0,0.0,1.0,13.774,1.0,8545.96021771431,0.0,0.0,0.010,0.0,0.0,0.0,0.0,0.114,1.0,0.0,0.0,0.0,0.0,1.0,0.49953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,448.465,0.0,0.0,0.0,0.0,0.0,0.0,0.969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,10.480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,487.642,10.890,279.633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.399,16.795,0.0,0.0,0.0,0.000,1.0,0.0,16.105,0.0,0.0,1.0,0.0,0.0,0.0,-8.707198,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.586,0.0,1.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.312,1.0,0.0,8,0.0,0.0,0.587,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.000,1.0,0.0,1.0,225.890,768.212,0.0,0.0,0.0,0.0,1039.5568068027496,0.0,0.0,0.0,0.0,0.0,0.000,0.012,0.0,387.332,1.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,1.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1518324607329843,25.018,1000.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.0,14.099,0.0,9350.74424791336,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,1.0,0.4996875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.665,0.0,1.0,0.0,1.0,0.0,0.0,0.926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,11.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,480.091,12.372,276.309,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.030,0.0,0.0,0.0,0.0,1.0,0.0,0.0,804.631,17.102,0.0,0.0,0.0,0.000,1.0,0.0,16.392,0.0,0.0,0.0,0.0,0.0,0.0,-9.51616,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.530,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.778,0.0,0.0,9,0.0,0.0,0.560,0.0,0.0,0.0,0.0,0.0,0.000,0.0,1.0,0.000,0.0,1.0,0.0,0.795,757.318,0.0,0.0,0.0,1.0,804.7840301990509,0.0,0.0,1.0,1.0,0.0,0.000,0.011,1.0,381.187,1.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.347,0.0,0.0,0.0,0.0,0.000,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
